ID|Genre|Kategorie|Autor|Titel|Type_token_ratio|Dispersion|Disparity|Evenness|Density|Rarity|Average_token_length_syllables|MTLD|Honore_H
k00400000111|Hochliteratur|Hochliteratur|Richter, Peter|89/90|0.33468717948717946|0.8303426463376087|0.6983014345169067|0.9373991805973376|0.3828439950115527|0.3931144915932746|1.6976768916946219|201.12627329138593|3015.097749429772
k00400000029|Hochliteratur|Hochliteratur|Erpenbeck, Jenny|Gehen, ging, gegangen|0.3014909090909091|0.8165438516564831|0.6879086494445801|0.93609024036431|0.3955568755568756|0.4829471578596433|1.6235818235818236|166.03254195174375|2575.1759210052587
k00400000088|Hochliteratur|Hochliteratur|Scheuer, Norbert|Überm Rauschen|0.31013333333333337|0.8187087007351508|0.6390907764434814|0.9377559052462524|0.4174197156565508|0.3556276892881407|1.6957583963735907|187.36445569445033|2854.6581621507657
k00400000013|Hochliteratur|Hochliteratur|Hochgatterer, Paulus|Die Süße des Lebens|0.3321925925925926|0.8280792701658035|0.676339864730835|0.9308941451062765|0.4142898538725835|0.42595430990438654|1.7043507057995613|192.12420166027155|2991.788758882612
k00400000052|Hochliteratur|Hochliteratur|Anna Katharina, Hahn|Kürzere Tage|0.37805|0.8377170275730076|0.7055997252464294|0.9355246224100456|0.4521118191424637|0.3144404757232013|1.7017996093374748|257.94318037817715|3525.9820144197015
k00300000725|Horror|Schemaliteratur|Rellergerd, Helmut|Im Nachtklub der Vampire|0.29946666666666666|0.8116657905654361|0.6473070979118347|0.9309364721992844|0.4494759667509939|0.3711653528350271|1.648933863389953|203.58853527450336|2664.8954622040255
k00300000726|Horror|Schemaliteratur|Rellergerd, Helmut|Die Totenkopf-Insel|0.30302222222222225|0.8146458932055127|0.6242083907127379|0.930357410169068|0.4553755728929784|0.3257232485186476|1.6609173284819647|202.09789890770796|2636.93334509748
k00300000727|Horror|Schemaliteratur|Rellergerd, Helmut|Das Grab in der Hölle|0.2801333333333333|0.8021610103502875|0.6302751898765564|0.9298153404690199|0.40410878612039153|0.3747634069400631|1.6183986870640643|191.39059558410304|2405.7912638271723
k00300000728|Horror|Schemaliteratur|Rellergerd, Helmut|Damona, Dienerin des Satans|0.2933777777777778|0.8129978570076933|0.6106664538383484|0.9328062351391354|0.4600577126785258|0.3771525359932248|1.642984987398181|201.7854409043658|2524.519235344704
k00300000729|Horror|Schemaliteratur|Rellergerd, Helmut|Der Mörder mit dem Januskopf|0.3028444444444444|0.8176102250615798|0.5974463224411011|0.9314193933849919|0.4494608921423677|0.3480739174404707|1.6609570516750207|200.2504416120274|2664.672089657782
k00300000730|Horror|Schemaliteratur|Rellergerd, Helmut|Schach mit dem Dämon|0.2979111111111111|0.8110726163400551|0.6259246468544006|0.931165107203307|0.42923573888040895|0.37986354416374696|1.624968939689752|201.87656363232153|2609.741703252265
k00300000731|Horror|Schemaliteratur|Rellergerd, Helmut|Das Horror-Schloß im Spessart|0.3024888888888889|0.8134579028211143|0.5789946913719177|0.9323455014900296|0.4517505787037037|0.3525417671759135|1.6443865740740742|208.88202012378594|2585.785060312836
k00300000732|Horror|Schemaliteratur|Rellergerd, Helmut|Das Drachenpaar|0.2711111111111111|0.8019109900955452|0.5894774198532104|0.9293954938985881|0.38305327136217376|0.40253981052207216|1.5746156596353236|181.57088061243135|2457.4108590725045
k00300000733|Horror|Schemaliteratur|Rellergerd, Helmut|Die Skelett-Vampire|0.26986666666666664|0.7942536182889594|0.5852097272872925|0.9306261077653872|0.37182810617401146|0.4138291205347817|1.565409470955493|198.00474676872682|2335.9755233742558
k00300000734|Horror|Schemaliteratur|Rellergerd, Helmut|Der Irre mit der Teufelsgeige|0.3088444444444445|0.8172657450247013|0.6201065182685852|0.9336774593433484|0.4385384350224061|0.3599447036461033|1.643846949327818|216.02859313205983|2593.962089787745
